epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.76,1.30565,1.88485,1.10736,0.64088,0.67957,0.65268,0.43793,1.16301,1.17678,1.06823,0.000413996,0.000413996,0.000413996
2,118.165,1.18383,1.15716,1.05725,0.79299,0.6353,0.71961,0.45667,1.12478,1.05807,1.03206,0.000822439,0.000822439,0.000822439
3,175.304,1.16635,1.047,1.05187,0.653,0.79772,0.70365,0.47705,1.10705,0.88193,1.00656,0.00122263,0.00122263,0.00122263
4,232.479,1.12531,0.96805,1.03481,0.72807,0.69591,0.76147,0.52926,1.11667,0.80593,1.02803,0.00121287,0.00121287,0.00121287
5,289.939,1.1201,0.90842,1.03319,0.71794,0.67603,0.74087,0.50849,1.11918,0.87973,1.02679,0.0012005,0.0012005,0.0012005
6,346.984,1.09973,0.8331,1.02418,0.70459,0.69316,0.75504,0.51805,1.08775,0.88709,1.01596,0.00118812,0.00118812,0.00118812
7,406.062,1.09093,0.80494,1.02327,0.67884,0.78468,0.74073,0.51329,1.10284,0.78733,1.02381,0.00117575,0.00117575,0.00117575
8,464.528,1.0838,0.76375,1.0149,0.81398,0.70041,0.80103,0.57437,1.09335,0.74789,1.00172,0.00116337,0.00116337,0.00116337
9,522.298,1.06475,0.74511,1.00833,0.79842,0.72845,0.8284,0.56335,1.08811,0.70473,1.00621,0.001151,0.001151,0.001151
10,579.635,1.04584,0.73568,1.00402,0.68336,0.81033,0.79983,0.56666,1.08503,0.73796,1.01633,0.00113863,0.00113863,0.00113863
11,636.685,1.04099,0.70965,1.00198,0.7711,0.70878,0.8102,0.5921,1.04613,0.71911,0.99786,0.00112625,0.00112625,0.00112625
12,693.995,1.03011,0.69885,0.99264,0.71763,0.77607,0.81038,0.58333,1.07045,0.76712,1.00061,0.00111388,0.00111388,0.00111388
13,751.207,1.02422,0.70238,0.99419,0.72801,0.77508,0.79719,0.5605,1.08799,0.68689,1.02048,0.0011015,0.0011015,0.0011015
14,808.725,1.02019,0.68098,0.9957,0.78174,0.82859,0.88281,0.62527,1.05705,0.65443,0.99951,0.00108913,0.00108913,0.00108913
15,867.413,0.99084,0.65713,0.97956,0.73452,0.81823,0.80344,0.57351,1.05138,0.69516,0.99703,0.00107675,0.00107675,0.00107675
16,925.237,1.0078,0.65223,0.98617,0.75052,0.8303,0.81359,0.58533,1.0652,0.6705,1.01089,0.00106437,0.00106437,0.00106437
17,982.949,0.99464,0.64979,0.98314,0.83077,0.71733,0.79727,0.56985,1.07831,0.68147,1.00077,0.001052,0.001052,0.001052
18,1040.96,0.97744,0.62492,0.97577,0.68312,0.76808,0.7822,0.55927,1.09019,0.68057,1.0169,0.00103962,0.00103962,0.00103962
19,1098.32,0.97445,0.63093,0.97429,0.80673,0.86878,0.85513,0.60791,1.05414,0.64538,1.0037,0.00102725,0.00102725,0.00102725
20,1155.79,0.95994,0.61266,0.97651,0.7629,0.74609,0.79078,0.5728,1.06402,0.69102,1.01444,0.00101488,0.00101488,0.00101488
21,1212.62,0.96201,0.61275,0.9682,0.73391,0.77181,0.79849,0.58088,1.05491,0.6627,1.00517,0.0010025,0.0010025,0.0010025
22,1270.13,0.95921,0.60915,0.97469,0.78076,0.79648,0.82097,0.60988,1.02959,0.65252,0.99422,0.000990125,0.000990125,0.000990125
23,1326.99,0.94053,0.592,0.9611,0.83775,0.72668,0.82911,0.58866,1.03929,0.67507,1.00126,0.00097775,0.00097775,0.00097775
24,1384.09,0.9442,0.6028,0.96762,0.83026,0.84138,0.85244,0.61799,1.04237,0.64384,0.99859,0.000965375,0.000965375,0.000965375
25,1441.17,0.93331,0.59503,0.96328,0.86258,0.72974,0.87031,0.64075,1.05169,0.64938,0.99957,0.000953,0.000953,0.000953
26,1498.93,0.94796,0.58328,0.96796,0.78437,0.79924,0.81719,0.59788,1.05245,0.671,0.99324,0.000940625,0.000940625,0.000940625
27,1556.04,0.91782,0.57213,0.95364,0.80205,0.80082,0.79798,0.58386,1.04198,0.65936,0.99751,0.00092825,0.00092825,0.00092825
28,1612.89,0.90658,0.56159,0.95312,0.79088,0.83662,0.84664,0.63728,1.03909,0.64539,0.99728,0.000915875,0.000915875,0.000915875
29,1669.75,0.91237,0.56148,0.95181,0.80289,0.76647,0.83059,0.61406,1.04899,0.67,0.99713,0.0009035,0.0009035,0.0009035
30,1726.49,0.89405,0.54788,0.94686,0.83407,0.83806,0.87391,0.64502,1.05649,0.62269,1.00926,0.000891125,0.000891125,0.000891125
31,1783.56,0.89151,0.55449,0.94629,0.85156,0.7472,0.84765,0.62761,1.06162,0.64975,1.01074,0.00087875,0.00087875,0.00087875
32,1840.24,0.88231,0.54355,0.94867,0.78925,0.77037,0.82233,0.60946,1.04747,0.66323,1.01089,0.000866375,0.000866375,0.000866375
33,1896.92,0.87212,0.54197,0.94232,0.8468,0.74645,0.82447,0.60486,1.04233,0.65345,1.00832,0.000854,0.000854,0.000854
34,1953.95,0.87643,0.52882,0.94575,0.77905,0.83032,0.85938,0.63923,1.0549,0.63516,1.0008,0.000841625,0.000841625,0.000841625
35,2010.93,0.87245,0.53129,0.94191,0.82775,0.80417,0.8599,0.64147,1.05246,0.62968,1.00455,0.00082925,0.00082925,0.00082925
36,2067.88,0.87082,0.51624,0.94275,0.80155,0.74883,0.8139,0.5911,1.06958,0.63203,1.0069,0.000816875,0.000816875,0.000816875
37,2124.55,0.85725,0.52215,0.93466,0.77467,0.70631,0.7858,0.58588,1.06732,0.68239,1.01389,0.0008045,0.0008045,0.0008045
38,2181.45,0.84403,0.51179,0.93299,0.82478,0.76143,0.85781,0.64256,1.0506,0.62071,1.00136,0.000792125,0.000792125,0.000792125
39,2238.25,0.84124,0.51184,0.93285,0.90137,0.74815,0.87314,0.63925,1.0592,0.64165,1.00529,0.00077975,0.00077975,0.00077975
40,2295.11,0.84713,0.50598,0.93709,0.85511,0.76693,0.85676,0.63731,1.05779,0.64813,1.00455,0.000767375,0.000767375,0.000767375
41,2352.11,0.82004,0.4911,0.92458,0.85124,0.77142,0.83945,0.61304,1.06974,0.65407,1.01683,0.000755,0.000755,0.000755
42,2409.07,0.83208,0.49938,0.92816,0.84599,0.82466,0.87837,0.64269,1.05077,0.60957,1.00176,0.000742625,0.000742625,0.000742625
43,2465.82,0.81772,0.49745,0.92889,0.84397,0.78298,0.83902,0.62516,1.06014,0.661,1.01014,0.00073025,0.00073025,0.00073025
44,2522.44,0.82683,0.50227,0.93247,0.87277,0.76973,0.84803,0.62709,1.07653,0.64532,1.01098,0.000717875,0.000717875,0.000717875
45,2579.01,0.8195,0.49116,0.92445,0.84401,0.77654,0.80694,0.59896,1.07391,0.65276,1.01463,0.0007055,0.0007055,0.0007055
46,2635.58,0.79608,0.48183,0.92052,0.81824,0.81702,0.84236,0.63062,1.05695,0.62784,1.00378,0.000693125,0.000693125,0.000693125
47,2692.36,0.79998,0.48002,0.92101,0.87258,0.732,0.85124,0.64018,1.04565,0.64233,1.00257,0.00068075,0.00068075,0.00068075
48,2749.02,0.7927,0.48536,0.9181,0.85145,0.83679,0.88888,0.66621,1.05433,0.62318,0.99779,0.000668375,0.000668375,0.000668375
49,2805.66,0.78825,0.47046,0.91658,0.83385,0.75328,0.84603,0.61888,1.07095,0.63992,1.00964,0.000656,0.000656,0.000656
50,2862.38,0.77819,0.45909,0.91181,0.86542,0.75978,0.84699,0.60563,1.07727,0.6437,1.01398,0.000643625,0.000643625,0.000643625
51,2918.88,0.77199,0.46719,0.91449,0.7971,0.79877,0.83828,0.61111,1.0728,0.64682,1.01022,0.00063125,0.00063125,0.00063125
52,2975.3,0.77056,0.45501,0.90749,0.78899,0.79324,0.84435,0.61089,1.09282,0.63623,1.02195,0.000618875,0.000618875,0.000618875
53,3031.74,0.76926,0.45873,0.91024,0.83324,0.75326,0.84826,0.61641,1.09496,0.6341,1.0222,0.0006065,0.0006065,0.0006065
54,3088.35,0.74371,0.44128,0.90425,0.8482,0.74352,0.83166,0.62179,1.0762,0.6279,1.02301,0.000594125,0.000594125,0.000594125
55,3145.04,0.75949,0.45201,0.90712,0.79491,0.74647,0.81596,0.58672,1.08211,0.63784,1.0225,0.00058175,0.00058175,0.00058175
56,3201.57,0.76081,0.44586,0.90383,0.85206,0.80118,0.84898,0.634,1.07882,0.63925,1.0165,0.000569375,0.000569375,0.000569375
57,3257.95,0.74454,0.44249,0.90462,0.85955,0.81232,0.87424,0.66003,1.06623,0.62219,1.012,0.000557,0.000557,0.000557
58,3314.36,0.7379,0.43763,0.89757,0.78472,0.82402,0.84866,0.62684,1.07937,0.64143,1.02154,0.000544625,0.000544625,0.000544625
59,3370.83,0.73559,0.43514,0.89789,0.79892,0.77875,0.82813,0.61483,1.0775,0.62813,1.03177,0.00053225,0.00053225,0.00053225
60,3427.29,0.72831,0.43197,0.89898,0.8561,0.78674,0.84683,0.62974,1.0842,0.62319,1.02276,0.000519875,0.000519875,0.000519875
61,3483.66,0.71583,0.42765,0.90057,0.84687,0.79073,0.86407,0.63112,1.07345,0.62042,1.012,0.0005075,0.0005075,0.0005075
62,3540.09,0.72258,0.43435,0.90037,0.88521,0.77859,0.85485,0.64207,1.07147,0.62544,1.01095,0.000495125,0.000495125,0.000495125
63,3596.55,0.71849,0.42045,0.89523,0.84883,0.794,0.8658,0.63498,1.08299,0.61735,1.0152,0.00048275,0.00048275,0.00048275
64,3652.91,0.70377,0.41969,0.89142,0.85657,0.76453,0.86893,0.63176,1.07477,0.6294,1.01448,0.000470375,0.000470375,0.000470375
65,3709.22,0.69373,0.40854,0.89338,0.81767,0.80721,0.82585,0.6154,1.08161,0.61952,1.02683,0.000458,0.000458,0.000458
66,3765.44,0.70179,0.4162,0.88903,0.88581,0.78522,0.85533,0.63185,1.07015,0.62262,1.01361,0.000445625,0.000445625,0.000445625
67,3821.74,0.68583,0.40539,0.88744,0.78013,0.83481,0.83887,0.62081,1.07828,0.62032,1.02434,0.00043325,0.00043325,0.00043325
68,3878.11,0.6745,0.39613,0.87976,0.7523,0.87314,0.85104,0.62312,1.07838,0.61879,1.02911,0.000420875,0.000420875,0.000420875
69,3934.74,0.68479,0.40558,0.88934,0.87243,0.74361,0.84692,0.62778,1.07956,0.63525,1.02152,0.0004085,0.0004085,0.0004085
70,3991.3,0.67255,0.39651,0.88222,0.79553,0.85516,0.87767,0.65727,1.05703,0.61318,1.01286,0.000396125,0.000396125,0.000396125
71,4047.74,0.66681,0.39258,0.88279,0.86702,0.76791,0.87571,0.6481,1.06903,0.61996,1.01993,0.00038375,0.00038375,0.00038375
72,4104.17,0.66686,0.39501,0.88516,0.78899,0.88502,0.87001,0.65504,1.06235,0.60869,1.02196,0.000371375,0.000371375,0.000371375
73,4160.85,0.65112,0.38867,0.87971,0.83066,0.83762,0.86601,0.64496,1.06792,0.62379,1.02233,0.000359,0.000359,0.000359
74,4217.06,0.66226,0.38926,0.88065,0.90267,0.78515,0.86333,0.64655,1.07509,0.6226,1.02017,0.000346625,0.000346625,0.000346625
75,4273.53,0.6502,0.3825,0.87654,0.80552,0.81085,0.85558,0.64408,1.05705,0.61212,1.00717,0.00033425,0.00033425,0.00033425
76,4330.05,0.65359,0.38331,0.88098,0.85705,0.81914,0.86933,0.65694,1.05738,0.6093,1.00958,0.000321875,0.000321875,0.000321875
77,4386.48,0.64298,0.38434,0.8744,0.81073,0.79819,0.85941,0.64996,1.0705,0.6274,1.01759,0.0003095,0.0003095,0.0003095
78,4442.69,0.63194,0.37283,0.87516,0.83152,0.76613,0.83864,0.63761,1.06097,0.62187,1.01098,0.000297125,0.000297125,0.000297125
79,4498.98,0.63888,0.37711,0.8753,0.74421,0.84653,0.84013,0.62736,1.07313,0.61646,1.01733,0.00028475,0.00028475,0.00028475
80,4555.46,0.64419,0.37715,0.87871,0.79274,0.82615,0.85736,0.64809,1.07003,0.62036,1.0241,0.000272375,0.000272375,0.000272375
81,4611.86,0.61982,0.36534,0.8721,0.77116,0.85052,0.85657,0.65634,1.05882,0.62836,1.01458,0.00026,0.00026,0.00026
82,4668.42,0.62559,0.36814,0.86854,0.82709,0.75152,0.82548,0.62118,1.06168,0.62169,1.02262,0.000247625,0.000247625,0.000247625
83,4724.84,0.61286,0.36371,0.86408,0.82744,0.74706,0.84428,0.62997,1.06802,0.63698,1.02423,0.00023525,0.00023525,0.00023525
84,4781.45,0.61104,0.36303,0.86655,0.86184,0.75882,0.8624,0.6487,1.06021,0.61814,1.01874,0.000222875,0.000222875,0.000222875
85,4837.78,0.62237,0.36435,0.87241,0.86878,0.75461,0.85371,0.63722,1.0756,0.61114,1.0279,0.0002105,0.0002105,0.0002105
86,4894.23,0.60831,0.35934,0.86926,0.88812,0.74044,0.85674,0.64586,1.06738,0.6188,1.02832,0.000198125,0.000198125,0.000198125
87,4950.62,0.60887,0.35967,0.8703,0.82717,0.80199,0.85931,0.64025,1.06864,0.60973,1.02894,0.00018575,0.00018575,0.00018575
