epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2893.18,0.86124,0.52945,0.96346,0.85627,0.74122,0.82966,0.62359,1.06621,0.65916,1.0746,0.000742625,0.000742625,0.000742625
43,2961.56,0.86296,0.53258,0.97346,0.7819,0.77355,0.78154,0.55688,1.07839,0.6736,1.08134,0.00073025,0.00073025,0.00073025
44,3033.24,0.8681,0.53956,0.97239,0.79123,0.83643,0.82943,0.62545,1.0489,0.65692,1.05832,0.000717875,0.000717875,0.000717875
45,3110.35,0.86368,0.52176,0.96282,0.82082,0.72024,0.80168,0.58819,1.0625,0.67281,1.08079,0.0007055,0.0007055,0.0007055
46,3182.74,0.83987,0.51423,0.95983,0.81671,0.7456,0.81267,0.59257,1.06687,0.67419,1.08127,0.000693125,0.000693125,0.000693125
47,3262.98,0.8467,0.51724,0.96371,0.8922,0.7353,0.85566,0.61774,1.11182,0.652,1.10002,0.00068075,0.00068075,0.00068075
48,3331.85,0.84469,0.52561,0.95853,0.78743,0.80085,0.82973,0.58388,1.10839,0.66859,1.10007,0.000668375,0.000668375,0.000668375
49,3399.78,0.83112,0.51091,0.95832,0.79055,0.81855,0.84006,0.61752,1.08933,0.67497,1.09156,0.000656,0.000656,0.000656
50,3469.59,0.82748,0.49719,0.94994,0.8511,0.75872,0.83908,0.60592,1.06649,0.64142,1.08544,0.000643625,0.000643625,0.000643625
51,3543.26,0.81518,0.50811,0.95093,0.85775,0.77186,0.85423,0.62283,1.04929,0.6344,1.06691,0.00063125,0.00063125,0.00063125
52,3615.58,0.8126,0.4936,0.94675,0.84439,0.826,0.86973,0.64312,1.05751,0.63471,1.08476,0.000618875,0.000618875,0.000618875
53,3685.99,0.81375,0.49531,0.95216,0.887,0.7806,0.8481,0.61403,1.07854,0.66398,1.09268,0.0006065,0.0006065,0.0006065
54,3755.76,0.7957,0.48264,0.94838,0.87714,0.78181,0.86402,0.62597,1.06126,0.63779,1.0887,0.000594125,0.000594125,0.000594125
55,3826.73,0.81098,0.49664,0.94076,0.86128,0.78399,0.85334,0.62516,1.07569,0.62631,1.09905,0.00058175,0.00058175,0.00058175
56,3896.45,0.80406,0.48434,0.94325,0.86891,0.75371,0.83919,0.61052,1.0812,0.65373,1.09894,0.000569375,0.000569375,0.000569375
57,3964.88,0.79351,0.47732,0.94119,0.79874,0.7906,0.819,0.59911,1.0944,0.63615,1.10526,0.000557,0.000557,0.000557
58,4034.47,0.78828,0.47806,0.93458,0.87003,0.74646,0.81329,0.60432,1.0721,0.6312,1.09473,0.000544625,0.000544625,0.000544625
59,4105.05,0.78178,0.47707,0.9339,0.8156,0.7948,0.79693,0.5784,1.06588,0.66472,1.09472,0.00053225,0.00053225,0.00053225
60,4177.29,0.77652,0.47744,0.93772,0.80434,0.80378,0.85454,0.60083,1.07614,0.65175,1.09835,0.000519875,0.000519875,0.000519875
61,4250.62,0.77141,0.46928,0.93382,0.84351,0.7547,0.84073,0.62445,1.0508,0.63995,1.07986,0.0005075,0.0005075,0.0005075
62,4327.38,0.77257,0.4812,0.93625,0.82466,0.75963,0.80579,0.60286,1.07725,0.65742,1.09359,0.000495125,0.000495125,0.000495125
63,4398.06,0.76766,0.4597,0.93084,0.80518,0.79905,0.83253,0.61383,1.07483,0.66163,1.10231,0.00048275,0.00048275,0.00048275
64,4469.74,0.7592,0.45838,0.9302,0.79183,0.75619,0.80978,0.60609,1.05452,0.65215,1.08584,0.000470375,0.000470375,0.000470375
65,4539.86,0.74748,0.44919,0.92916,0.81796,0.79206,0.82502,0.59973,1.07101,0.66828,1.09769,0.000458,0.000458,0.000458
66,4607.42,0.75321,0.45722,0.92509,0.87966,0.75829,0.85935,0.62754,1.0626,0.63851,1.09219,0.000445625,0.000445625,0.000445625
67,4676.67,0.73166,0.43942,0.92329,0.83478,0.82339,0.85707,0.63571,1.08232,0.63468,1.09706,0.00043325,0.00043325,0.00043325
68,4745.01,0.72765,0.44132,0.91707,0.79352,0.80883,0.84029,0.61709,1.07522,0.63522,1.11027,0.000420875,0.000420875,0.000420875
69,4822.2,0.73736,0.44485,0.92256,0.85819,0.73346,0.82167,0.60302,1.07075,0.65399,1.11458,0.0004085,0.0004085,0.0004085
70,4889.58,0.72221,0.43707,0.91359,0.83522,0.74217,0.82175,0.60911,1.0741,0.63532,1.10359,0.000396125,0.000396125,0.000396125
71,4957.53,0.71886,0.43574,0.91831,0.84631,0.79863,0.82577,0.61839,1.07738,0.64376,1.11143,0.00038375,0.00038375,0.00038375
72,5028.38,0.72062,0.43611,0.91927,0.85209,0.74998,0.83364,0.61193,1.07162,0.65297,1.10311,0.000371375,0.000371375,0.000371375
73,5099.04,0.7076,0.42951,0.91486,0.86065,0.72387,0.81737,0.59982,1.08091,0.64998,1.09972,0.000359,0.000359,0.000359
74,5169.7,0.71573,0.42081,0.91824,0.8581,0.76465,0.8146,0.60665,1.07477,0.65254,1.10427,0.000346625,0.000346625,0.000346625
75,5235.65,0.69875,0.42085,0.90889,0.81322,0.79907,0.80391,0.60563,1.05756,0.6472,1.09935,0.00033425,0.00033425,0.00033425
76,5305.7,0.69945,0.42103,0.91327,0.81474,0.79668,0.82858,0.61143,1.08193,0.64463,1.10338,0.000321875,0.000321875,0.000321875
77,5378.21,0.70484,0.42071,0.90914,0.81044,0.80904,0.81796,0.59576,1.08745,0.66824,1.12032,0.0003095,0.0003095,0.0003095
78,5447.75,0.69037,0.41203,0.91037,0.84755,0.77895,0.82689,0.60408,1.07056,0.64706,1.10894,0.000297125,0.000297125,0.000297125
79,5519.71,0.6923,0.41267,0.90895,0.754,0.81646,0.8315,0.613,1.07405,0.63884,1.11315,0.00028475,0.00028475,0.00028475
80,5585.28,0.69115,0.41231,0.90992,0.83401,0.79981,0.82575,0.60675,1.06788,0.64288,1.1105,0.000272375,0.000272375,0.000272375
81,5653.25,0.67746,0.41053,0.90398,0.77951,0.79036,0.80737,0.59444,1.08384,0.65529,1.12037,0.00026,0.00026,0.00026
82,5719.82,0.68293,0.40673,0.90158,0.84206,0.7316,0.81174,0.60781,1.06616,0.65853,1.11468,0.000247625,0.000247625,0.000247625
83,5786.67,0.66611,0.40221,0.89618,0.80918,0.7562,0.79004,0.59377,1.0623,0.67307,1.11475,0.00023525,0.00023525,0.00023525
84,5858.72,0.66853,0.4066,0.89858,0.7779,0.77599,0.80564,0.61405,1.06154,0.67443,1.11263,0.000222875,0.000222875,0.000222875
85,5933.47,0.66674,0.40181,0.89896,0.79804,0.76577,0.7964,0.58649,1.07925,0.67859,1.12266,0.0002105,0.0002105,0.0002105
86,6002.55,0.65489,0.39795,0.89407,0.7556,0.78934,0.81532,0.60735,1.06882,0.66752,1.11265,0.000198125,0.000198125,0.000198125
87,6069.01,0.65494,0.39564,0.89553,0.7745,0.7939,0.81853,0.60987,1.0669,0.6835,1.11948,0.00018575,0.00018575,0.00018575
