epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8795,1.30565,1.88485,1.10736,0.64088,0.67957,0.65268,0.43793,1.16301,1.17678,1.06823,0.000413996,0.000413996,0.000413996
2,120.497,1.18383,1.15716,1.05725,0.79299,0.6353,0.71961,0.45667,1.12478,1.05807,1.03206,0.000822439,0.000822439,0.000822439
3,178.324,1.16635,1.047,1.05187,0.653,0.79772,0.70365,0.47705,1.10705,0.88193,1.00656,0.00122263,0.00122263,0.00122263
4,235.235,1.12531,0.96805,1.03481,0.72807,0.69591,0.76147,0.52926,1.11667,0.80593,1.02803,0.00121287,0.00121287,0.00121287
